id,locale_de,RefModel,Command,Type,status_de,Comment
Standard_2690448,Personenart,Standard,,caption,final,<NO_COMMENT>
Standard_2758913,Sprache Bezeichnung,Standard,,caption,exported,<NO_COMMENT>
Standard_5511893,Strasse | Gebäude | Nr.,Standard,,caption,final,Strasse | Gebäude | Nr.
Standard_2721647,Allgemein 1,Standard,,caption,final,<NO_COMMENT>
Standard_2718524,Betreute Unternehmungen,Standard,,caption,final,<NO_COMMENT>
Standard_5573136,Mobile G,Standard,,caption,final,Mobile G
Standard_2695669,Geografiecode,Standard,,caption,final,<NO_COMMENT>
Standard_2725437,Notizen,Standard,,caption,final,<NO_COMMENT>
Standard_2678839,Typ,Standard,,caption,final,<NO_COMMENT>
Standard_2719241,Telefon Firma,Standard,,caption,final,<NO_COMMENT>
Standard_2727976,Partnername,Standard,,caption,final,<NO_COMMENT>
Standard_2689977,Männlich,Standard,,caption,final,<NO_COMMENT>
Standard_2689926,Adresstyp,Standard,,caption,final,<NO_COMMENT>
Standard_5573123,Fax G,Standard,,caption,final,Fax G
Standard_6958725,Suche nach Kommunikationsnummer,Standard,,caption,final,Created by Wcl Migration
Standard_6963999,Segment-name,Standard,,caption,final,US12966
Standard_5504014,Zuordnung Person - Segment,Standard,,title,final,<NO_COMMENT>
Standard_2718238,Benutzer-Zuweisung,Standard,,caption,final,<NO_COMMENT>
Standard_2692646,Verteiler,Standard,,caption,final,<NO_COMMENT>
Standard_6958685,PLZ-Zuweisung ändern,Standard,,caption,final,Created by Wcl Migration
Standard_2709870,Fälligkeit,Standard,,caption,final,<NO_COMMENT>
Standard_2692586,Nach Person,Standard,,caption,final,<NO_COMMENT>
Standard_2693528,UDC Verkauf,Standard,,caption,final,<NO_COMMENT>
Standard_5575552,Hauswart,Standard,,caption,final,R78410
Standard_2718523,Partnerschaften,Standard,,caption,final,<NO_COMMENT>
Standard_2685370,Geschäftsbereich,Standard,,caption,final,<NO_COMMENT>
Standard_5503965,Personenart,Standard,,title,final,<NO_COMMENT>
Standard_2760157,Personenbezeichnung,Standard,,caption,exported,Perrel Description
Standard_2679159,Inaktiv,Standard,,caption,final,<NO_COMMENT>
Standard_2689978,Weiblich,Standard,,caption,final,<NO_COMMENT>
Standard_2710688,Menge,Standard,,caption,final,<NO_COMMENT>
Standard_5575553,Tel. Hauswart,Standard,,caption,final,R78410
Standard_2729593,General,Standard,,caption,final,<NO_COMMENT>
Standard_2702994,Freier Text 2,Standard,,caption,final,<NO_COMMENT>
Standard_2692585,Von Person,Standard,,caption,final,<NO_COMMENT>
Standard_2705476,Passiv/Mitglied,Standard,,caption,final,<NO_COMMENT>
Standard_2679664,Beschreibung,Standard,,caption,final,<NO_COMMENT>
Standard_5504087,Zuordnung Personenart - Beziehungsart,Standard,,title,final,<NO_COMMENT>
Standard_2685085,Unternehmen,Standard,,caption,final,<NO_COMMENT>
Standard_2719245,Korrespond. Firma,Standard,,caption,final,<NO_COMMENT>
Standard_2713460,Geschäftsadressen,Standard,,caption,final,<NO_COMMENT>
Standard_2701317,Postfach PLZ,Standard,,caption,final,<NO_COMMENT>
Standard_5483095,Y-Koordinate,Standard,,caption,exported,Y-Coordinate
Standard_2730529,Ort,Standard,,caption,final,<NO_COMMENT>
Standard_2717956,Zugeteilte Ortschaft,Standard,,caption,final,<NO_COMMENT>
Standard_2757450,Weitere Kriterien,Standard,,caption,exported,Wird für die weiteren Kriterien in den Expander Groups der Search verwendet
Standard_2713509,Untergeordnete Personen,Standard,,caption,final,<NO_COMMENT>
Standard_2727180,Zuordnung Werbecode - Kontakt,Standard,,caption,final,<NO_COMMENT>
Standard_2719240,Firma / Name,Standard,,caption,final,<NO_COMMENT>
Standard_5503495,Kategorieart,Standard,,title,final,<NO_COMMENT>
Standard_2713468,Funktionen,Standard,,caption,final,<NO_COMMENT>
Standard_2690598,Arbeitgeber,Standard,,caption,final,<NO_COMMENT>
Standard_5483941,Link,Standard,,caption,exported,link
Standard_2713432,Projekte,Standard,,caption,final,<NO_COMMENT>
Standard_6959023,Werbecode Suchen,Standard,,caption,final,Created by Wcl Migration
Standard_2706008,Aufruf,Standard,,caption,final,<NO_COMMENT>
Standard_2689973,Rufname,Standard,,caption,final,<NO_COMMENT>
Standard_2710285,Kontakte,Standard,,caption,final,<NO_COMMENT>
Standard_5503447,Zolltarifnummer je Geografie,Standard,,title,final,<NO_COMMENT>
Standard_6023564,Alte Personennr.,Standard,,caption,final,Alte Personennummer
Standard_2692416,Überg. Partnersch.,Standard,,caption,final,<NO_COMMENT>
Standard_2705475,Mitglied,Standard,,caption,final,<NO_COMMENT>
Standard_2691064,Beziehungsart-Code,Standard,,caption,final,<NO_COMMENT>
Standard_2697082,Firmennummer,Standard,,caption,final,<NO_COMMENT>
Standard_2689495,Sichtbar,Standard,,caption,final,<NO_COMMENT>
Standard_2689937,Temporär,Standard,,caption,final,<NO_COMMENT>
Standard_2694661,Leiter,Standard,,caption,final,<NO_COMMENT>
Standard_6959283,Arbeitgeberwechsel für Kontakt ,Standard,,caption,final,Created by Wcl Migration
Standard_2732673,Bitte wählen Sie ein Segment aus.,Standard,,instruction,final,<NO_COMMENT>
Standard_5723531,Namenszusatz,Standard,,caption,final,Namenszusatz
Standard_2727198,Meine Beziehungen,Standard,,caption,final,<NO_COMMENT>
Standard_2713421,Lieferant anzeigen,Standard,,caption,final,<NO_COMMENT>
Standard_2693613,Geo-Grp-Beziehung,Standard,,caption,final,<NO_COMMENT>
Standard_2719242,Fax Firma,Standard,,caption,final,<NO_COMMENT>
Standard_2728735,Auswahl Personenbeziehungsart,Standard,,caption,final,<NO_COMMENT>
Standard_2713423,Kontakt Detail,Standard,,caption,final,<NO_COMMENT>
Standard_2713634,Unternehmen Zusatz,Standard,,caption,final,<NO_COMMENT>
Standard_2713428,Übergeordnete Person,Standard,,caption,final,<NO_COMMENT>
